Course Name,Subject,Topics Covered,Difficulty (0-1),Course Link
Course 1,Data Science,"Python, Statistics, Machine Learning",0.01,https://example.com/course-1
Course 2,Web Development,"HTML, CSS, JavaScript",0.01,https://example.com/course-2
Course 3,Graphic Design,"Adobe Photoshop, Illustrator",0.01,https://example.com/course-3
Course 4,Digital Marketing,"SEO, Google Ads, Content Marketing",0.02,https://example.com/course-4
Course 5,Business Analytics,"Excel, Tableau, Business Strategy",0.03,https://example.com/course-5
Course 6,Cybersecurity,"Network Security, Ethical Hacking",0.03,https://example.com/course-6
Course 7,Mobile App Development,"Kotlin, Flutter, Android Studio",0.04,https://example.com/course-7
Course 8,AI & ML,"Deep Learning, Neural Networks",0.04,https://example.com/course-8
Course 9,Data Science,"Python, Statistics, Machine Learning",0.04,https://example.com/course-9
Course 10,Web Development,"HTML, CSS, JavaScript",0.05,https://example.com/course-10
Course 11,Graphic Design,"Adobe Photoshop, Illustrator",0.06,https://example.com/course-11
Course 12,Digital Marketing,"SEO, Google Ads, Content Marketing",0.06,https://example.com/course-12
Course 13,Business Analytics,"Excel, Tableau, Business Strategy",0.07,https://example.com/course-13
Course 14,Cybersecurity,"Network Security, Ethical Hacking",0.07,https://example.com/course-14
Course 15,Mobile App Development,"Kotlin, Flutter, Android Studio",0.07,https://example.com/course-15
Course 16,AI & ML,"Deep Learning, Neural Networks",0.08,https://example.com/course-16
Course 17,Data Science,"Python, Statistics, Machine Learning",0.09,https://example.com/course-17
Course 18,Web Development,"HTML, CSS, JavaScript",0.09,https://example.com/course-18
Course 19,Graphic Design,"Adobe Photoshop, Illustrator",0.1,https://example.com/course-19
Course 20,Digital Marketing,"SEO, Google Ads, Content Marketing",0.1,https://example.com/course-20
Course 21,Business Analytics,"Excel, Tableau, Business Strategy",0.1,https://example.com/course-21
Course 22,Cybersecurity,"Network Security, Ethical Hacking",0.11,https://example.com/course-22
Course 23,Mobile App Development,"Kotlin, Flutter, Android Studio",0.12,https://example.com/course-23
Course 24,AI & ML,"Deep Learning, Neural Networks",0.12,https://example.com/course-24
Course 25,Data Science,"Python, Statistics, Machine Learning",0.12,https://example.com/course-25
Course 26,Web Development,"HTML, CSS, JavaScript",0.13,https://example.com/course-26
Course 27,Graphic Design,"Adobe Photoshop, Illustrator",0.14,https://example.com/course-27
Course 28,Digital Marketing,"SEO, Google Ads, Content Marketing",0.14,https://example.com/course-28
Course 29,Business Analytics,"Excel, Tableau, Business Strategy",0.14,https://example.com/course-29
Course 30,Cybersecurity,"Network Security, Ethical Hacking",0.15,https://example.com/course-30
Course 31,Mobile App Development,"Kotlin, Flutter, Android Studio",0.15,https://example.com/course-31
Course 32,AI & ML,"Deep Learning, Neural Networks",0.16,https://example.com/course-32
Course 33,Data Science,"Python, Statistics, Machine Learning",0.17,https://example.com/course-33
Course 34,Web Development,"HTML, CSS, JavaScript",0.17,https://example.com/course-34
Course 35,Graphic Design,"Adobe Photoshop, Illustrator",0.17,https://example.com/course-35
Course 36,Digital Marketing,"SEO, Google Ads, Content Marketing",0.18,https://example.com/course-36
Course 37,Business Analytics,"Excel, Tableau, Business Strategy",0.18,https://example.com/course-37
Course 38,Cybersecurity,"Network Security, Ethical Hacking",0.19,https://example.com/course-38
Course 39,Mobile App Development,"Kotlin, Flutter, Android Studio",0.2,https://example.com/course-39
Course 40,AI & ML,"Deep Learning, Neural Networks",0.2,https://example.com/course-40
Course 41,Data Science,"Python, Statistics, Machine Learning",0.2,https://example.com/course-41
Course 42,Web Development,"HTML, CSS, JavaScript",0.21,https://example.com/course-42
Course 43,Graphic Design,"Adobe Photoshop, Illustrator",0.21,https://example.com/course-43
Course 44,Digital Marketing,"SEO, Google Ads, Content Marketing",0.22,https://example.com/course-44
Course 45,Business Analytics,"Excel, Tableau, Business Strategy",0.23,https://example.com/course-45
Course 46,Cybersecurity,"Network Security, Ethical Hacking",0.23,https://example.com/course-46
Course 47,Mobile App Development,"Kotlin, Flutter, Android Studio",0.23,https://example.com/course-47
Course 48,AI & ML,"Deep Learning, Neural Networks",0.24,https://example.com/course-48
Course 49,Data Science,"Python, Statistics, Machine Learning",0.24,https://example.com/course-49
Course 50,Web Development,"HTML, CSS, JavaScript",0.25,https://example.com/course-50
Course 51,Graphic Design,"Adobe Photoshop, Illustrator",0.26,https://example.com/course-51
Course 52,Digital Marketing,"SEO, Google Ads, Content Marketing",0.26,https://example.com/course-52
Course 53,Business Analytics,"Excel, Tableau, Business Strategy",0.27,https://example.com/course-53
Course 54,Cybersecurity,"Network Security, Ethical Hacking",0.27,https://example.com/course-54
Course 55,Mobile App Development,"Kotlin, Flutter, Android Studio",0.28,https://example.com/course-55
Course 56,AI & ML,"Deep Learning, Neural Networks",0.28,https://example.com/course-56
Course 57,Data Science,"Python, Statistics, Machine Learning",0.28,https://example.com/course-57
Course 58,Web Development,"HTML, CSS, JavaScript",0.29,https://example.com/course-58
Course 59,Graphic Design,"Adobe Photoshop, Illustrator",0.29,https://example.com/course-59
Course 60,Digital Marketing,"SEO, Google Ads, Content Marketing",0.3,https://example.com/course-60
Course 61,Business Analytics,"Excel, Tableau, Business Strategy",0.3,https://example.com/course-61
Course 62,Cybersecurity,"Network Security, Ethical Hacking",0.31,https://example.com/course-62
Course 63,Mobile App Development,"Kotlin, Flutter, Android Studio",0.32,https://example.com/course-63
Course 64,AI & ML,"Deep Learning, Neural Networks",0.32,https://example.com/course-64
Course 65,Data Science,"Python, Statistics, Machine Learning",0.33,https://example.com/course-65
Course 66,Web Development,"HTML, CSS, JavaScript",0.33,https://example.com/course-66
Course 67,Graphic Design,"Adobe Photoshop, Illustrator",0.34,https://example.com/course-67
Course 68,Digital Marketing,"SEO, Google Ads, Content Marketing",0.34,https://example.com/course-68
Course 69,Business Analytics,"Excel, Tableau, Business Strategy",0.34,https://example.com/course-69
Course 70,Cybersecurity,"Network Security, Ethical Hacking",0.35,https://example.com/course-70
Course 71,Mobile App Development,"Kotlin, Flutter, Android Studio",0.35,https://example.com/course-71
Course 72,AI & ML,"Deep Learning, Neural Networks",0.36,https://example.com/course-72
Course 73,Data Science,"Python, Statistics, Machine Learning",0.36,https://example.com/course-73
Course 74,Web Development,"HTML, CSS, JavaScript",0.37,https://example.com/course-74
Course 75,Graphic Design,"Adobe Photoshop, Illustrator",0.38,https://example.com/course-75
Course 76,Digital Marketing,"SEO, Google Ads, Content Marketing",0.38,https://example.com/course-76
Course 77,Business Analytics,"Excel, Tableau, Business Strategy",0.39,https://example.com/course-77
Course 78,Cybersecurity,"Network Security, Ethical Hacking",0.39,https://example.com/course-78
Course 79,Mobile App Development,"Kotlin, Flutter, Android Studio",0.4,https://example.com/course-79
