title,description,url,duration,topic,difficulty_level,topics_covered
Introduction to Genetics,"Learn the basics of Genetics, its concepts, and practical examples.",https://youtube.com/biology-genetics-basic,10.1,Biology,Basic,Genetics
Introduction to Genetics,"Learn the basics of Genetics, its concepts, and practical examples.",https://youtube.com/biology-genetics-basic,11.6,Biology,Basic,Genetics
Advanced Calculus: Techniques and Applications,Explore advanced topics in Calculus with real-world applications and technical details.,https://youtube.com/mathematics-calculus-advanced,59.5,Mathematics,Advanced,Calculus
Advanced Geometry: Techniques and Applications,Explore advanced topics in Geometry with real-world applications and technical details.,https://youtube.com/mathematics-geometry-advanced,52.4,Mathematics,Advanced,Geometry
Calculus Explained: Intermediate Concepts,Delve deeper into Calculus with hands-on examples and in-depth explanations.,https://youtube.com/mathematics-calculus-intermediate,53.4,Mathematics,Intermediate,Calculus
Introduction to Neural Networks,"Learn the basics of Neural Networks, its concepts, and practical examples.",https://youtube.com/ai-neural-networks-basic,54.1,AI,Basic,Neural Networks
Advanced Quantum Mechanics: Techniques and Applications,Explore advanced topics in Quantum Mechanics with real-world applications and technical details.,https://youtube.com/physics-quantum-mechanics-advanced,21.7,Physics,Advanced,Quantum Mechanics
Introduction to Quantum Mechanics,"Learn the basics of Quantum Mechanics, its concepts, and practical examples.",https://youtube.com/physics-quantum-mechanics-basic,20.8,Physics,Basic,Quantum Mechanics
Introduction to Deep Learning,"Learn the basics of Deep Learning, its concepts, and practical examples.",https://youtube.com/ai-deep-learning-basic,29.0,AI,Basic,Deep Learning
Introduction to Electromagnetism,"Learn the basics of Electromagnetism, its concepts, and practical examples.",https://youtube.com/physics-electromagnetism-basic,25.3,Physics,Basic,Electromagnetism
Advanced Microeconomics: Techniques and Applications,Explore advanced topics in Microeconomics with real-world applications and technical details.,https://youtube.com/economics-microeconomics-advanced,27.5,Economics,Advanced,Microeconomics
Introduction to Calculus,"Learn the basics of Calculus, its concepts, and practical examples.",https://youtube.com/mathematics-calculus-basic,31.7,Mathematics,Basic,Calculus
Introduction to Evolution,"Learn the basics of Evolution, its concepts, and practical examples.",https://youtube.com/biology-evolution-basic,34.3,Biology,Basic,Evolution
Advanced Electromagnetism: Techniques and Applications,Explore advanced topics in Electromagnetism with real-world applications and technical details.,https://youtube.com/physics-electromagnetism-advanced,53.9,Physics,Advanced,Electromagnetism
Introduction to Game Theory,"Learn the basics of Game Theory, its concepts, and practical examples.",https://youtube.com/economics-game-theory-basic,50.8,Economics,Basic,Game Theory
Advanced Relativity: Techniques and Applications,Explore advanced topics in Relativity with real-world applications and technical details.,https://youtube.com/physics-relativity-advanced,26.0,Physics,Advanced,Relativity
Geometry Explained: Intermediate Concepts,Delve deeper into Geometry with hands-on examples and in-depth explanations.,https://youtube.com/mathematics-geometry-intermediate,29.4,Mathematics,Intermediate,Geometry
Advanced Cell Biology: Techniques and Applications,Explore advanced topics in Cell Biology with real-world applications and technical details.,https://youtube.com/biology-cell-biology-advanced,11.8,Biology,Advanced,Cell Biology
Quantum Mechanics Explained: Intermediate Concepts,Delve deeper into Quantum Mechanics with hands-on examples and in-depth explanations.,https://youtube.com/physics-quantum-mechanics-intermediate,56.9,Physics,Intermediate,Quantum Mechanics
Introduction to Microeconomics,"Learn the basics of Microeconomics, its concepts, and practical examples.",https://youtube.com/economics-microeconomics-basic,52.5,Economics,Basic,Microeconomics
Introduction to Probability,"Learn the basics of Probability, its concepts, and practical examples.",https://youtube.com/mathematics-probability-basic,30.9,Mathematics,Basic,Probability
Evolution Explained: Intermediate Concepts,Delve deeper into Evolution with hands-on examples and in-depth explanations.,https://youtube.com/biology-evolution-intermediate,16.6,Biology,Intermediate,Evolution
OOP Explained: Intermediate Concepts,Delve deeper into OOP with hands-on examples and in-depth explanations.,https://youtube.com/programming-oop-intermediate,48.4,Programming,Intermediate,OOP
Genetics Explained: Intermediate Concepts,Delve deeper into Genetics with hands-on examples and in-depth explanations.,https://youtube.com/biology-genetics-intermediate,35.7,Biology,Intermediate,Genetics
Introduction to Python,"Learn the basics of Python, its concepts, and practical examples.",https://youtube.com/programming-python-basic,18.2,Programming,Basic,Python
Advanced Relativity: Techniques and Applications,Explore advanced topics in Relativity with real-world applications and technical details.,https://youtube.com/physics-relativity-advanced,9.7,Physics,Advanced,Relativity
Quantum Mechanics Explained: Intermediate Concepts,Delve deeper into Quantum Mechanics with hands-on examples and in-depth explanations.,https://youtube.com/physics-quantum-mechanics-intermediate,58.8,Physics,Intermediate,Quantum Mechanics
Advanced Probability: Techniques and Applications,Explore advanced topics in Probability with real-world applications and technical details.,https://youtube.com/mathematics-probability-advanced,36.7,Mathematics,Advanced,Probability
Advanced JavaScript: Techniques and Applications,Explore advanced topics in JavaScript with real-world applications and technical details.,https://youtube.com/programming-javascript-advanced,16.5,Programming,Advanced,JavaScript
Introduction to Electromagnetism,"Learn the basics of Electromagnetism, its concepts, and practical examples.",https://youtube.com/physics-electromagnetism-basic,43.9,Physics,Basic,Electromagnetism
Genetics Explained: Intermediate Concepts,Delve deeper into Genetics with hands-on examples and in-depth explanations.,https://youtube.com/biology-genetics-intermediate,10.7,Biology,Intermediate,Genetics
