title,description,url,duration,topic,difficulty_level
Programming Fundamentals: Lesson 1,"This video provides an in-depth look into Programming fundamentals, covering the basics for beginners.",https://youtube.com/programming-lesson-1,10.0,Programming,Basic
Web Development Essentials: Intermediate Guide,"Explore intermediate techniques in Web Development, including practical applications and problem-solving.",https://youtube.com/web-development-lesson-2,12.5,Web Development,Intermediate
AI Techniques: Advanced Concepts,"Delve into advanced AI concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/ai-lesson-3,15.0,AI,Advanced
Cloud Computing Fundamentals: Lesson 4,"This video provides an in-depth look into Cloud Computing fundamentals, covering the basics for beginners.",https://youtube.com/cloud-computing-lesson-4,17.5,Cloud Computing,Basic
Blockchain Essentials: Intermediate Guide,"Explore intermediate techniques in Blockchain, including practical applications and problem-solving.",https://youtube.com/blockchain-lesson-5,20.0,Blockchain,Intermediate
App Development Techniques: Advanced Concepts,"Delve into advanced App Development concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/app-development-lesson-6,22.5,App Development,Advanced
Programming Fundamentals: Lesson 7,"This video provides an in-depth look into Programming fundamentals, covering the basics for beginners.",https://youtube.com/programming-lesson-7,25.0,Programming,Basic
Web Development Essentials: Intermediate Guide,"Explore intermediate techniques in Web Development, including practical applications and problem-solving.",https://youtube.com/web-development-lesson-8,27.5,Web Development,Intermediate
AI Techniques: Advanced Concepts,"Delve into advanced AI concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/ai-lesson-9,30.0,AI,Advanced
Cloud Computing Fundamentals: Lesson 10,"This video provides an in-depth look into Cloud Computing fundamentals, covering the basics for beginners.",https://youtube.com/cloud-computing-lesson-10,32.5,Cloud Computing,Basic
Blockchain Essentials: Intermediate Guide,"Explore intermediate techniques in Blockchain, including practical applications and problem-solving.",https://youtube.com/blockchain-lesson-11,35.0,Blockchain,Intermediate
App Development Techniques: Advanced Concepts,"Delve into advanced App Development concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/app-development-lesson-12,37.5,App Development,Advanced
Programming Fundamentals: Lesson 13,"This video provides an in-depth look into Programming fundamentals, covering the basics for beginners.",https://youtube.com/programming-lesson-13,40.0,Programming,Basic
Web Development Essentials: Intermediate Guide,"Explore intermediate techniques in Web Development, including practical applications and problem-solving.",https://youtube.com/web-development-lesson-14,42.5,Web Development,Intermediate
AI Techniques: Advanced Concepts,"Delve into advanced AI concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/ai-lesson-15,45.0,AI,Advanced
Cloud Computing Fundamentals: Lesson 16,"This video provides an in-depth look into Cloud Computing fundamentals, covering the basics for beginners.",https://youtube.com/cloud-computing-lesson-16,47.5,Cloud Computing,Basic
Blockchain Essentials: Intermediate Guide,"Explore intermediate techniques in Blockchain, including practical applications and problem-solving.",https://youtube.com/blockchain-lesson-17,50.0,Blockchain,Intermediate
App Development Techniques: Advanced Concepts,"Delve into advanced App Development concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/app-development-lesson-18,52.5,App Development,Advanced
Programming Fundamentals: Lesson 19,"This video provides an in-depth look into Programming fundamentals, covering the basics for beginners.",https://youtube.com/programming-lesson-19,55.0,Programming,Basic
Web Development Essentials: Intermediate Guide,"Explore intermediate techniques in Web Development, including practical applications and problem-solving.",https://youtube.com/web-development-lesson-20,57.5,Web Development,Intermediate
AI Techniques: Advanced Concepts,"Delve into advanced AI concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/ai-lesson-21,10.0,AI,Advanced
Cloud Computing Fundamentals: Lesson 22,"This video provides an in-depth look into Cloud Computing fundamentals, covering the basics for beginners.",https://youtube.com/cloud-computing-lesson-22,12.5,Cloud Computing,Basic
Blockchain Essentials: Intermediate Guide,"Explore intermediate techniques in Blockchain, including practical applications and problem-solving.",https://youtube.com/blockchain-lesson-23,15.0,Blockchain,Intermediate
App Development Techniques: Advanced Concepts,"Delve into advanced App Development concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/app-development-lesson-24,17.5,App Development,Advanced
Programming Fundamentals: Lesson 25,"This video provides an in-depth look into Programming fundamentals, covering the basics for beginners.",https://youtube.com/programming-lesson-25,20.0,Programming,Basic
Web Development Essentials: Intermediate Guide,"Explore intermediate techniques in Web Development, including practical applications and problem-solving.",https://youtube.com/web-development-lesson-26,22.5,Web Development,Intermediate
AI Techniques: Advanced Concepts,"Delve into advanced AI concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/ai-lesson-27,25.0,AI,Advanced
Cloud Computing Fundamentals: Lesson 28,"This video provides an in-depth look into Cloud Computing fundamentals, covering the basics for beginners.",https://youtube.com/cloud-computing-lesson-28,27.5,Cloud Computing,Basic
Blockchain Essentials: Intermediate Guide,"Explore intermediate techniques in Blockchain, including practical applications and problem-solving.",https://youtube.com/blockchain-lesson-29,30.0,Blockchain,Intermediate
App Development Techniques: Advanced Concepts,"Delve into advanced App Development concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/app-development-lesson-30,32.5,App Development,Advanced
Programming Fundamentals: Lesson 31,"This video provides an in-depth look into Programming fundamentals, covering the basics for beginners.",https://youtube.com/programming-lesson-31,35.0,Programming,Basic
Web Development Essentials: Intermediate Guide,"Explore intermediate techniques in Web Development, including practical applications and problem-solving.",https://youtube.com/web-development-lesson-32,37.5,Web Development,Intermediate
AI Techniques: Advanced Concepts,"Delve into advanced AI concepts, discussing cutting-edge strategies and real-world use cases.",https://youtube.com/ai-lesson-33,40.0,AI,Advanced
