title,description,url,duration,topic,difficulty_level
Introduction to Python Programming,"Learn the basics of Python programming, including syntax, variables, and loops. Perfect for beginners.",https://youtube.com/watch?v=intro-python,15.5,Programming,Basic
Building Your First Website with HTML and CSS,Step-by-step guide to creating a simple and responsive website using HTML and CSS.,https://youtube.com/watch?v=html-css-basics,20.0,Web Development,Basic
What is Artificial Intelligence?,"Understand the core concepts of AI, its history, and real-world applications.",https://youtube.com/watch?v=ai-intro,12.0,AI,Basic
AWS Basics: Introduction to Cloud Computing,Learn the basics of cloud computing and how AWS can power your applications.,https://youtube.com/watch?v=aws-basics,16.5,Cloud Computing,Basic
Introduction to Blockchain Technology,Understand how blockchain works and its potential applications in the real world.,https://youtube.com/watch?v=blockchain-intro,18.0,Blockchain,Basic
Flutter Basics: Create Your First Mobile App,Learn the fundamentals of Flutter and how to create a basic mobile app.,https://youtube.com/watch?v=flutter-basics,22.0,App Development,Basic
Web Development Tutorial Part 1,This video covers advanced topics in Web Development suitable for intermediate learners.,https://youtube.com/watch?v=web development-tutorial-7,27.5,Web Development,Intermediate
AI Tutorial Part 1,This video covers advanced topics in AI suitable for advanced learners.,https://youtube.com/watch?v=ai-tutorial-8,30.0,AI,Advanced
Cloud Computing Tutorial Part 1,This video covers advanced topics in Cloud Computing suitable for basic learners.,https://youtube.com/watch?v=cloud computing-tutorial-9,32.5,Cloud Computing,Basic
Blockchain Tutorial Part 1,This video covers advanced topics in Blockchain suitable for intermediate learners.,https://youtube.com/watch?v=blockchain-tutorial-10,35.0,Blockchain,Intermediate
App Development Tutorial Part 1,This video covers advanced topics in App Development suitable for advanced learners.,https://youtube.com/watch?v=app development-tutorial-11,37.5,App Development,Advanced
Programming Tutorial Part 1,This video covers advanced topics in Programming suitable for basic learners.,https://youtube.com/watch?v=programming-tutorial-12,40.0,Programming,Basic
Web Development Tutorial Part 1,This video covers advanced topics in Web Development suitable for intermediate learners.,https://youtube.com/watch?v=web development-tutorial-13,42.5,Web Development,Intermediate
AI Tutorial Part 1,This video covers advanced topics in AI suitable for advanced learners.,https://youtube.com/watch?v=ai-tutorial-14,45.0,AI,Advanced
Cloud Computing Tutorial Part 1,This video covers advanced topics in Cloud Computing suitable for basic learners.,https://youtube.com/watch?v=cloud computing-tutorial-15,10.0,Cloud Computing,Basic
Blockchain Tutorial Part 1,This video covers advanced topics in Blockchain suitable for intermediate learners.,https://youtube.com/watch?v=blockchain-tutorial-16,12.5,Blockchain,Intermediate
App Development Tutorial Part 1,This video covers advanced topics in App Development suitable for advanced learners.,https://youtube.com/watch?v=app development-tutorial-17,15.0,App Development,Advanced
Programming Tutorial Part 1,This video covers advanced topics in Programming suitable for basic learners.,https://youtube.com/watch?v=programming-tutorial-18,17.5,Programming,Basic
Web Development Tutorial Part 1,This video covers advanced topics in Web Development suitable for intermediate learners.,https://youtube.com/watch?v=web development-tutorial-19,20.0,Web Development,Intermediate
AI Tutorial Part 2,This video covers advanced topics in AI suitable for advanced learners.,https://youtube.com/watch?v=ai-tutorial-20,22.5,AI,Advanced
Cloud Computing Tutorial Part 2,This video covers advanced topics in Cloud Computing suitable for basic learners.,https://youtube.com/watch?v=cloud computing-tutorial-21,25.0,Cloud Computing,Basic
Blockchain Tutorial Part 2,This video covers advanced topics in Blockchain suitable for intermediate learners.,https://youtube.com/watch?v=blockchain-tutorial-22,27.5,Blockchain,Intermediate
App Development Tutorial Part 2,This video covers advanced topics in App Development suitable for advanced learners.,https://youtube.com/watch?v=app development-tutorial-23,30.0,App Development,Advanced
Programming Tutorial Part 2,This video covers advanced topics in Programming suitable for basic learners.,https://youtube.com/watch?v=programming-tutorial-24,32.5,Programming,Basic
Web Development Tutorial Part 2,This video covers advanced topics in Web Development suitable for intermediate learners.,https://youtube.com/watch?v=web development-tutorial-25,35.0,Web Development,Intermediate
AI Tutorial Part 2,This video covers advanced topics in AI suitable for advanced learners.,https://youtube.com/watch?v=ai-tutorial-26,37.5,AI,Advanced
Cloud Computing Tutorial Part 2,This video covers advanced topics in Cloud Computing suitable for basic learners.,https://youtube.com/watch?v=cloud computing-tutorial-27,40.0,Cloud Computing,Basic
Blockchain Tutorial Part 2,This video covers advanced topics in Blockchain suitable for intermediate learners.,https://youtube.com/watch?v=blockchain-tutorial-28,42.5,Blockchain,Intermediate
App Development Tutorial Part 2,This video covers advanced topics in App Development suitable for advanced learners.,https://youtube.com/watch?v=app development-tutorial-29,45.0,App Development,Advanced
Programming Tutorial Part 2,This video covers advanced topics in Programming suitable for basic learners.,https://youtube.com/watch?v=programming-tutorial-30,10.0,Programming,Basic
Web Development Tutorial Part 2,This video covers advanced topics in Web Development suitable for intermediate learners.,https://youtube.com/watch?v=web development-tutorial-31,12.5,Web Development,Intermediate
AI Tutorial Part 2,This video covers advanced topics in AI suitable for advanced learners.,https://youtube.com/watch?v=ai-tutorial-32,15.0,AI,Advanced
