title,description,url,duration,topic,difficulty_level
Introduction to Python Programming,"Learn basic Python syntax, variables, and simple programs.",https://youtube.com/python-intro,15.5,Programming,Basic
Getting Started with HTML and CSS,Understand the structure of web pages and style them with CSS.,https://youtube.com/html-css-basics,18.0,Web Development,Basic
What is Artificial Intelligence?,"An overview of AI concepts, applications, and history.",https://youtube.com/intro-to-ai,12.0,AI,Basic
Cloud Computing Basics,"Introduction to cloud computing, its types, and key providers.",https://youtube.com/cloud-computing-basics,16.0,Cloud Computing,Basic
Blockchain 101: How It Works,Learn the basics of blockchain technology and its use cases.,https://youtube.com/blockchain-101,14.0,Blockchain,Basic
Mobile App Development for Beginners,Create your first mobile app using drag-and-drop tools.,https://youtube.com/app-dev-basics,20.0,App Development,Basic
Intermediate Python: Data Structures,"Deep dive into lists, dictionaries, and their applications.",https://youtube.com/intermediate-python,22.5,Programming,Intermediate
CSS Flexbox and Grid Layout,Master layout techniques using CSS Flexbox and Grid.,https://youtube.com/css-flexbox-grid,25.0,Web Development,Intermediate
Supervised Machine Learning Explained,Learn the concepts of supervised learning and regression.,https://youtube.com/supervised-ml,30.0,AI,Intermediate
AWS Basics: Introduction to S3 and EC2,"Learn the basics of Amazon Web Services, focusing on S3 and EC2.",https://youtube.com/aws-basics,28.0,Cloud Computing,Intermediate
Building a Smart Contract with Solidity,Create a simple smart contract on Ethereum using Solidity.,https://youtube.com/solidity-smart-contract,24.0,Blockchain,Intermediate
Building Responsive Mobile Apps,Learn to build responsive apps using React Native.,https://youtube.com/react-native-responsive-apps,27.0,App Development,Intermediate
Advanced Python: Generators and Decorators,"Explore Python generators, decorators, and their advanced use cases.",https://youtube.com/advanced-python,35.0,Programming,Advanced
Advanced JavaScript: Understanding Async/Await,Master asynchronous programming in JavaScript with async/await.,https://youtube.com/advanced-js-async,32.0,Web Development,Advanced
Deep Learning: Convolutional Neural Networks,Learn the theory and implementation of CNNs with PyTorch.,https://youtube.com/cnn-pytorch,40.0,AI,Advanced
Kubernetes for Cloud Deployment,Advanced Kubernetes concepts for deploying and managing cloud apps.,https://youtube.com/kubernetes-advanced,38.0,Cloud Computing,Advanced
Blockchain Scalability: Sharding and Layer 2,Explore advanced blockchain scalability techniques.,https://youtube.com/blockchain-scalability,34.0,Blockchain,Advanced
Advanced Flutter Techniques,"Build complex, high-performance apps using Flutter.",https://youtube.com/flutter-advanced,36.0,App Development,Advanced
Sample Video 14,Description for video 14 covering educational content.,https://youtube.com/sample-video-14,17.0,AI,Advanced
Sample Video 15,Description for video 15 covering educational content.,https://youtube.com/sample-video-15,17.5,Cloud Computing,Basic
Sample Video 16,Description for video 16 covering educational content.,https://youtube.com/sample-video-16,18.0,Blockchain,Intermediate
Sample Video 17,Description for video 17 covering educational content.,https://youtube.com/sample-video-17,18.5,App Development,Advanced
