Course Name,Subject,Topics Covered,Difficulty (0-1),Course Link
Introduction to Data Science with Python,Data Science,"Python, Statistics, Machine Learning",0.74,https://example.com/introduction-to-data-science-with-python
Web Development Bootcamp,Web Development,"HTML, CSS, JavaScript",0.46,https://example.com/web-development-bootcamp
Illustrator for Graphic Designers,Graphic Design,"Adobe Photoshop, Illustrator",0.13,https://example.com/illustrator-for-graphic-designers
Complete Digital Marketing Guide,Digital Marketing,"SEO, Google Ads, Content Marketing",0.77,https://example.com/complete-digital-marketing-guide
Tableau Data Visualization,Business Analytics,"Excel, Tableau, Business Strategy",0.2,https://example.com/tableau-data-visualization
Ethical Hacking Basics,Cybersecurity,"Network Security, Ethical Hacking",0.39,https://example.com/ethical-hacking-basics
Flutter for Beginners,Mobile App Development,"Kotlin, Flutter, Android Studio",0.2,https://example.com/flutter-for-beginners
Deep Learning with TensorFlow,AI & ML,"Deep Learning, Neural Networks",0.13,https://example.com/deep-learning-with-tensorflow
Machine Learning Fundamentals,Data Science,"Python, Statistics, Machine Learning",0.3,https://example.com/machine-learning-fundamentals
JavaScript for Beginners,Web Development,"HTML, CSS, JavaScript",0.37,https://example.com/javascript-for-beginners
Graphic Design Masterclass,Graphic Design,"Adobe Photoshop, Illustrator",0.2,https://example.com/graphic-design-masterclass
Complete Digital Marketing Guide,Digital Marketing,"SEO, Google Ads, Content Marketing",0.73,https://example.com/complete-digital-marketing-guide
Tableau Data Visualization,Business Analytics,"Excel, Tableau, Business Strategy",0.33,https://example.com/tableau-data-visualization
Introduction to Cybersecurity,Cybersecurity,"Network Security, Ethical Hacking",0.8,https://example.com/introduction-to-cybersecurity
Mobile App Development with Kotlin,Mobile App Development,"Kotlin, Flutter, Android Studio",0.39,https://example.com/mobile-app-development-with-kotlin
Neural Networks Explained,AI & ML,"Deep Learning, Neural Networks",0.47,https://example.com/neural-networks-explained
Machine Learning Fundamentals,Data Science,"Python, Statistics, Machine Learning",0.33,https://example.com/machine-learning-fundamentals
JavaScript for Beginners,Web Development,"HTML, CSS, JavaScript",0.85,https://example.com/javascript-for-beginners
Adobe Photoshop Essentials,Graphic Design,"Adobe Photoshop, Illustrator",0.89,https://example.com/adobe-photoshop-essentials
SEO Mastery Course,Digital Marketing,"SEO, Google Ads, Content Marketing",0.31,https://example.com/seo-mastery-course
Tableau Data Visualization,Business Analytics,"Excel, Tableau, Business Strategy",0.31,https://example.com/tableau-data-visualization
Introduction to Cybersecurity,Cybersecurity,"Network Security, Ethical Hacking",0.63,https://example.com/introduction-to-cybersecurity
Flutter for Beginners,Mobile App Development,"Kotlin, Flutter, Android Studio",0.72,https://example.com/flutter-for-beginners
Neural Networks Explained,AI & ML,"Deep Learning, Neural Networks",0.58,https://example.com/neural-networks-explained
Introduction to Data Science with Python,Data Science,"Python, Statistics, Machine Learning",0.49,https://example.com/introduction-to-data-science-with-python
Web Development Bootcamp,Web Development,"HTML, CSS, JavaScript",0.91,https://example.com/web-development-bootcamp
